Posición,Descripción ,Derechos,Tasa Estadísticas,Impuestos Internos,Anti-Dumping,IVA
8516.31.00,SECADOR DE CABELLO,20,3,0,0,21%
8516.29.00,CALIENTAPLATOS,35,3,0,0,21%
8516.10.00.900X,C,20,3,0,0,21%
8515.90.00,PUNTAS PARA SOLDAR,14,0,0,0,21%
8515.90.00,PARTES SOLDADORA,14,0,0,0,21%
8515.90.00,PUNTAS DE CORTE PLASMA,12,0,0,0,21%
8515.39.00,SOLDADORAS,12.6,0,0,0,"10,50%"
8515.11.00,SOLDADOR,12.6,0,0,0,"10,50%"
8513.10.90,LAMPARA PARA CELULAR,18,3,0,0,21%
8513.10.10,LINTERNA,18,3,0,0,21%
8512.40.20,Escobillas limpiaparabrisas,18,3,0,0,21%
8512.20.21,AP ALUMBRADO,18,3,0,0,21%
8512.20.19,aparato de alumbrado,18,3,0,0,21%
8512.20.11,SET LUCES,18,3,0,0,21%
8512.10.00,LUZ BICICLETA,18,3,0,0,21%
8511.90.00,PARTE DE ENCENDIDO,16,3,0,0,21%
8511.50.90,REGULADOR,18,3,0,0,21%
8511.50.10,ALTERNADOR,18,3,0,0,21%
8511.40.00,MOTOR DE ARRANQUE,18,3,0,0,21%
8511.30.20,BOBINA DE ENCENDICO,18,3,0,0,21%
8511.30.10,DISTRIBUIDOR,18,3,0,0,21%
8511.20.90,BUJIA,18,3,0,0,21%
8511.10.00,BUJIAS,18,3,0,0,21%
8510.90.19,KIT PEINES CORTE 6 UNID,16,3,0,0,21%
8510.30.00,DEPILADORA,20,3,0,0,21%
8510.20.00.900A,RECORTADORA FACIAL,35,0,0,0,"10,50%"
8510.20.00.900A,Máquinas de cortar el pelo o esquilar,35,0,0,0,"10,50%"
8510.20.00,CORTA CABELLO,0,3,0,0,"10,50%"
8510.10.00,AFEITADORA,20,3,0,0,21%
8509.90.00,MICROMOTORES,16,3,0,0,21%
8509.90.00,PARTES Y ACCS BATIDORA,16,3,0,0,21%
8509.90.00,PARTES CEPILLO DE DIENTES,16,3,0,0,21%
8509.80.90.900U,CEPILLO DE DIENTES ELECTRICO,20,3,0,0,21%
8509.80.90,CEPILLO DIENTES ELECTRICO,20,3,0,0,21%
8509.80.90,DISPENSADOR DE FRAGANCIAS,20,3,0,0,21%
8509.40.90,triturador de pimienta,20,3,0,0,21%
8509.40.90,triturador de pimienta,20,3,0,0,21%
8509.40.90,MOLINILLO CAFE,20,3,0,0,21%
8509.40.90,EXPRIMIDOR,20,3,0,0,21%
8509.40.50.900Y,BATIDORA DE MANO,20,3,0,0,21%
8509.40.30,APART ELECTRO MECANICO,20,3,0,0,21%
8509.40.20.900U,PROCESADOR DE ALIMENTO,20,3,0,0,21%
8509.40.20.900U,LIQUADORA,20,3,0,0,21%
8509.40.20.900U,BATIDORA,20,3,0,0,21%
8509.40.20,BATIDORA,20,3,0,0,21%
8509.40.10,LICUADORA,20,3,0,0,21%
8508.70.00,Partes de aspiradora,12.6,0,0,0,21%
8508.70.00,SET PARTES ASPIRADORA,14,0,0,0,21%
8508.70.00,PARTES ASPIRADORA,14,0,0,0,21%
8508.60.00,ASPIRADORA,14,3,0,0,"10,50%"
8508.19.00,aspiradora con motor electrico,20,3,0,0,21%
8508.11.00,aspiradora electrica,20,3,0,0,21%
8508.11.00,ASPIRADORA ROBOT Y ACCESORIOS,20,3,0,0,21%
8508.11.00,ASPIRADORA ROBOT,20,3,0,0,21%
8507.80.00,ACUMULADORES,18,3,0,0,21%
8507.80.00,BATERIA NOTEBOOK,16,3,0,0,21%
8507.60.00,KIT 3 BATERIAS Y CARGADOR,16,3,0,0,21%
8507.60.00,PACK 2 BATERIAS,16,3,0,0,21%
8507.60.00,PACK 2 BATERIAS CAMARA,16,3,0,0,21%
8507.60.00,BATERIA CELULAR,16,3,0,0,21%
8507.60.00,BATERIA CAMARA,16,3,0,0,21%
8507.60.00,BATERIA DRONE,16,3,0,0,21%
8507.30.11,POWER BANK,18,3,0,0,21%
8507.10.90,BATERIA DE AUTOMOVIL,18,3,0,0,21%
8506.50.90,BATERIAS,16,3,0,0,21%
8506.50.90,BATERIAS,16,3,0,0,21%
8505.11.00,IMANES,16,3,0,0,21%
8504.90.40,CONVERSOR,14,3,0,0,21%
8504.90.40,CONVERTIDOR,14,3,0,0,21%
8504.50.00,INDUCTORES,18,3,0,0,21%
8504.50.00,BOBINAS,18,3,0,0,21%
8504.40.90,FUENTE,2,0,0,0,21%
8504.40.90,FUENTES 12V,2,3,0,0,21%
8504.40.90,KIT FUENTE DE ALIMENTACION Y CABLES CONE,2,0,0,0,21%
8504.40.90,KIT FUENTE DE ALIMENTACION Y MAZO DE CAB,2,0,0,0,21%
8504.40.90,KIT DE 3 FUENTES DE ALIMENTACION,2,0,0,0,21%
8504.40.90,FUENTE ALIMENTACION KIT,2,0,0,0,
8504.40.90,KIT DE 3 FUENTES DE ALIMENTACION,2,0,0,0,21%
8504.40.40,UPS,12,0,0,0,"10,50%"
8504.40.10.000T,Cargadores,35,3,0,0,21%
8504.40.10,cargador de bateria,18,3,0,0,21%
8504.40.10,CARGADOR JOYSTICKS,18,3,0,0,21%
8504.40.10,REDUCTOR DE ENGRANAJE,18,3,0,0,21%
8504.40.10,CARGADOR C BATERIA,18,3,0,0,21%
8504.40.10,CARGADOR,18,3,0,0,21%
8504.40.10,CARGADOR CELULAR AUTO,18,3,0,0,21%
8504.31.11,TRANSFORMADOR DE INTENSIDAD,18,3,0,0,21%
8504.10.00,balasto de faros LED,18,3,0,0,21%
8503.00.90,ROTOR,14,0,0,0,21%
8503.00.90,PARTE DE MOTOR ELEC,14,3,0,0,21%
8503.00.90,motores elec y grup elec (partes),14,3,0,0,21%
8503.00.10,ROTORES DE MOTOR ELECTRICO,14,3,0,0,21%
8501.51.90,MS DIG,12,3,0,0,21%
8501.51.90,SERVO DIGITAL,14,0,0,0,21%
8501.40.19,Los demás motores de corriente alterna,18,3,0,30,21%
8501.32.20,GENERADORES EOLICOS,18,3,0,0,21%
8501.31.10.900J,Los demas motores,18,3,0,0,21%
8501.10.90,MOTOR,12,0,0,0,21%
8501.10.29,GENERADOR CORRIENTE ALTERNA,18,3,0,0,21%
8501.10.19,MOTOR C SOPORTE,18,3,0,0,21%
8501.10.19,MOTOR,18,3,0,0,21%
8501.10.19,SERVO MOTOR,18,3,0,0,21%
8501.10.19,KIT MOTOR CON RUEDA,18,3,0,0,21%
8501.10.11,CONJUNTO MOTOR Y DIRVER,0,0,0,0,"10,50%"
8487.90.00,RETEN,14,3,0,0,21%
8487.90.00,Maq hidraulica (partes),14,3,0,0,21%
8487.10.00,HELICE BARCO,14,0,0,0,21%
8485.90.00.000F,PARTE DE IMPRESSORA 3D,2,0,0,0,21%
8484.90.00,JUNTAS SELLADORAS METALICAS,16,3,0,0,21%
8484.90.00,JUNTAS,16,3,0,0,21%
8484.10.00,JUNTAS METALOPLASTICAS,16,3,0,0,21%
8483.90.00,JUEGO PERNO CORONA,14,3,0,0,21%
8483.90.00,DISCO DE FRENO,14,3,0,0,21%
8483.90.00,CORONA,14,3,0,0,21%
8483.90.00,KIT DE ENGRANAJES,14,0,0,0,21%
8483.90.00,ENGRANAJE,14,3,0,0,21%
8483.60.90,PARTE DE TRANSMISION,14,3,0,0,21%
8483.60.19,EMBRAGUE VENTILACION,12,3,0,0,21%
8483.50.90,PARTES DE TRANSMISION,16,3,0,0,21%
8483.50.90,POLEAS,16,3,0,0,21%
8483.40.90,ENGRANAJES,12.6,0,0,0,21%
8483.30.90,BUJES,16,3,0,0,21%
8483.30.29,COJINETES,16,3,0,0,21%
8483.10.30,ARBOL DE TRANSMISION,16,3,0,0,21%
8483.10.30,ARBOL DE TRANSMICION,16,3,0,0,21%
8483.10.30,ARBOL DE TRANSMISION,16,3,0,0,21%
8483.10.20,ARBOL DE LEVAS,16,3,0,0,21%
8482.80.00,RODAMIENTOS A,16,3,0,0,21%
8482.20.10,Rodamientos de rodillos,16,3,0,0,21%
8482.10.10,RODAMIENTOS,16,3,0,0,21%
8481.90.90,PARTE DE VALVULA,12.6,0,0,0,21%
8481.90.10,ART DE GRIFERIA,16,3,0,0,21%
8481.80.99,PICO PLASTICO,14,0,0,0,21%
8481.80.92,VALVULA SOLENOIDE KIT 6 UNID,14,0,0,0,21%
8481.80.92,VALVULA SOLENOIDE,14,0,0,0,21%
8481.80.19,ART DE GRIFERIA PARA BAÑO O COCINA,18,3,0,0,21%
8481.80.19,ART DE GRIFERIA PARA BAÑO O COCINA,18,3,0,0,21%
8481.40.00,VALVULA,14,3,0,0,21%
8481.40.00,VALVULAS,14,3,0,0,21%
8481.30.00,VALVULA DE PRESION,14,3,0,0,21%
8481.10.00,VALVULA REDUC,12.6,0,0,0,21%
8479.90.90,PARTES MAQUINAS,14,3,0,0,21%
8479.89.99,ROBOT MINI,14,0,0,0,"10,50%"
8479.89.99,LIMPIADOR DE PISCINA,14,0,0,0,"10,50%"
8479.89.99,HUMIDIFICADOR,14,3,0,0,"10,50%"
8479.89.99,TRITURADORA RESIDUOS,14,3,0,0,"10,50%"
8479.89.99,MAQ DESARMADORA DE NEUMATICOS,14,0,0,0,"10,50%"
8479.89.99,LIMPIAVIDRIOS ROBOT,14,0,0,0,21%
8479.89.99,APTO MECANICO PARTE,14,3,0,0,"10,50%"
8479.82.90,PISTOLA DISPENSADORA,12.6,0,0,0,"10,50%"
8479.50.00,MAQUINA DE LIMPIEZA,14,3,0,0,"10,50%"
8479.10.90,MAQUINA,14,3,0,0,21%
8477.90.00,PARTE IMPRESORA 3D,14,0,0,0,21%
8477.80.90,LAPIZ IMPRESION 3D,14,0,0,0,"10,50%"
8477.80.90,MAQUINA PARA CORTE,14,0,0,0,"10,50%"
8477.80.90,IMPRESOSRA 3D,14,0,0,0,"10,50%"
8473.50.90,ADAPTADOR C 7 IN 1,0,0,0,0,"10,50%"
8473.50.50,PLACA MODULO,0,3,0,0,"10,50%"
8473.50.35,CARTUCHOS,0,3,0,0,"10,50%"
8473.50.35,CARTUCHOS,0,3,0,0,"10,50%"
8473.40.90,PARTES DE CONTADORA DE BILLETES,0,0,0,0,"10,50%"
8473.30.99,PC ACCESORIOS,0,3,0,0,"10,50%"
8473.30.99,MAQ PROC PARTES,8,3,0,0,"10,50%"
8473.30.99,KIT REPUESTOS TECLADO,0,0,0,0,"10,50%"
8473.30.99,ACC DE PC,0,3,0,0,"10,50%"
8473.30.99,PARTE DE PC,8,3,0,0,"10,50%"
8473.30.99,PROGRAMADOR DE MEMORIAS,0,0,0,0,"10,50%"
8473.30.99,KIT REPUESTO LAPIZ TABLET (4 UN),0,0,0,0,"10,50%"
8473.30.99,KIT PROGRAMACION,0,0,0,0,"10,50%"
8473.30.92,PANTALLA TABLET CON KIT INSTALACION,0,0,0,0,"10,50%"
8473.30.92,PANTALLA TABLET,0,0,0,0,"10,50%"
8473.30.92,DISPLAY PANTALLA,0,0,0,0,"10,50%"
8473.30.90,PART Y ACC PARA PC Y TABLET,0,0,0,0,"10,50%"
8473.30.49,KIT 6 PLACAS MINERIA CON CABLES CONEXION,0,0,0,0,"10,50%"
8473.30.49,PLAQUETA,0,0,0,0,"10,50%"
8473.30.49,PLACAS COMPUTACION,0,0,0,0,"10,50%"
8473.30.49,PLAQUETA COMPUTACION,0,3,0,0,
8473.30.49,ADAPTADOR NOTEBOOK,0,0,0,0,"10,50%"
8473.30.49,PLACAS P/MINERIA CON CABLES DE CONEXION,0,0,0,0,"10,50%"
8473.30.49,ACCESORIO COMPUTADORA,0,0,0,0,"10,50%"
8473.30.49,PARTES COMPUTADORA,0,0,0,0,"10,50%"
8473.30.42,PLACA DE MEMORIA,0,0,0,0,"10,50%"
8473.30.42,PLACA MEMORIA KIT 2 UNID,0,0,0,0,"10,50%"
8473.30.42,KIT 2 PLACAS DE MEMORIA,0,0,0,0,"10,50%"
8473.30.41,PLACA MADRE,0,0,0,0,"10,50%"
8473.30.41,PART ACC DE COMPUTACION,12,3,0,0,"10,50%"
8473.30.41,MOTHERBOARD,0,0,0,0,"10,50%"
8473.30.39,ACC PARA NOTEBOOK,0,3,0,0,"10,50%"
8473.30.19,GABINETE,0,0,0,0,"10,50%"
8473.30.19,CONVERSORES,10,3,0,0,"10,50%"
8473.30.11,PLACAS DE VIDEO,0,0,0,0,"10,50%"
8472.90.30,CONTADORA DE BILLETE,2,0,0,0,"10,50%"
8471.90.90,LECTOR TARJETA MAGNETICA,0,3,0,0,"10,50%"
8471.90.19,LECTOR DE MEMORIAS,0,3,0,0,"10,50%"
8471.90.14,SCANNER,0,0,0,0,"10,50%"
8471.90.12,LECTORA CODIGO DE BARRA,0,3,0,0,"10,50%"
8471.80.00,REPLICADOR PUERTOS,0,0,0,0,"10,50%"
8471.80.00,PLACAS DE VIDEO,0,0,0,0,"10,50%"
8471.70.90,UNIDAD SSD,0,0,0,0,"10,50%"
8471.70.90,LOS DEMAS DISCOS RIGIDOS,0,0,0,0,"10,50%"
8471.70.90,ACCESORIOS COMPUTACION,0,3,0,0,"10,50%"
8471.70.90,MEMORIAS SSD KIT 9 UNID,0,0,0,0,"10,50%"
8471.70.90,ESTACION DE DISCOS RIGIDOS,0,0,0,0,"10,50%"
8471.70.90,UNIDAD DE MEMORIA INTERNA SATA,0,0,0,0,"10,50%"
8471.70.29,LECTOGRABADORA,0,3,0,0,"10,50%"
8471.70.29,GRABADORA DE DVD,2,3,0,0,"10,50%"
8471.70.21,discos para lectura de datos,2,3,0,0,"10,50%"
8471.70.19,DISCOS RIGIDOS. LOS DEMAS,0,0,0,0,"10,50%"
8471.70.19,DISCOS RIGIDOS KIT 9 UNIDADES,0,0,0,0,"10,50%"
8471.70.19,unidad de memoria automatizada,8,3,0,0,"10,50%"
8471.70.12,DISCOS RIGIDOS,0,0,0,0,"10,50%"
8471.70.12,DISCO EXTERNO,8,3,0,0,"10,50%"
8471.70.12,NOTEBOOK,16,0,0,0,"10,50%"
8471.60.90,TABLETA P DIBUJAR,16,0,0,0,"10,50%"
8471.60.59,LAPIZ TABLET,0,0,0,0,"10,50%"
8471.60.59,PERIFERICOS DE PC,0,3,0,0,"10,50%"
8471.60.59,LAPIZ OPTICO,12,3,0,0,"10,50%"
8471.60.59,ACC COMPUTACION,0,3,0,0,"10,50%"
8471.60.53.000Q,mouse,0,0,0,0,"10,50%"
8471.60.53,TRACK PAD,0,0,0,0,"10,50%"
8471.60.53,MOUSE,0,0,0,0,"10,50%"
8471.60.53,TOUCH PAD,0,0,0,0,"10,50%"
8471.60.52,TECLADO CON FUNDA,0,0,0,0,"10,50%"
8471.60.52,KIT TECLADO/MOUSE,0,0,0,0,"10,50%"
8471.60.52,TECLADO,0,0,0,0,"10,50%"
8471.50.90,SERVIDOR,0,0,0,0,"10,50%"
8471.50.90,UNIDADES DE PROCESAR DATOS PC,0,0,0,0,"10,50%"
8471.50.90,UNIDAD SSD SATA,0,0,0,0,"10,50%"
8471.50.10,MINI PC,0,0,0,0,"10,50%"
8471.49.00,COMPUTADORA ALL IN ONE,0,0,0,0,"10,50%"
8471.49.00,CPU 1,0,3,0,0,0%
8471.49.00,CPU,0,0,0,0,"10,50%"
8471.49.00,COMPU ALL IN ONE REFURB,32,0,0,0,"10,50%"
8471.41.90,COMPUTADORA,0,0,0,0,"10,50%"
8471.41.00,CPU,16,0,0,0,"10,50%"
8471.30.90,NOTEBOOK,16,0,0,0,"10,50%"
8471.30.90,NOTEBOOK REFURBISHED,32,0,0,0,"10,50%"
8471.30.90,KIT NOTEBOOK / MEMORIA MICRO SD,0,0,0,0,"10,50%"
8471.30.90,TABLETS,16,0,0,0,"10,50%"
8471.30.19,TABLET,16,0,0,0,"10,50%"
8471.30.19,MAQUINA P DE DATOS,16,3,0,0,"10,50%"
8471.30.19,MINI PC,16,0,0,0,"10,50%"
8471.30.12,NOTEBOOKS,16,0,0,0,"10,50%"
8471.30.12,NOTEBOOK,16,0,0,0,"10,50%"
8471.30.12,NOTEBOOK REFURBISHED,32,0,0,0,"10,50%"
8471.30.12,TABLET CON BOLIGRAFO,16,0,0,0,"10,50%"
8471.30.12,NOTEBOOK Y LAPIZ,0,0,0,0,"10,50%"
8471.30.12,UNIDAD PROCESAR DATOS,16,0,0,0,"10,50%"
8471.30.12,SET TABLET/TECLADO/LAPIZ/MOUSE,0,0,0,0,"10,50%"
8471.30.12,KIT NOTEBOOK; CABLES (2); MOUSE Y LAPIZ,0,0,0,0,"10,50%"
8471.30.12,SET TABLET/FUNDA/TECLADO/MOUSE/LAPIZ/PRO,0,0,0,0,"10,50%"
8471.30.11,MAQUINAS PORTATILES,0,3,0,0,"10,50%"
8470.50.19,TERMINAL DE PAGO POSNET,0,0,0,0,"10,50%"
8470.10.00,CALCULADORAS,20,3,0,0,21%
8468.10.00,SOPLETE FLAMBEADOR,16,3,0,0,21%
8467.92.00,PARTES HERRAMIENTA NEUMATICA,14,3,0,0,21%
8467.29.99,AMOLADORA,20,3,0,0,21%
8467.29.92,DESTORNILLADOR ELECTRICO,35,3,0,0,21%
8467.29.92,ROSCADORA DE TUBO ELEC MANUAL P/AUTO SET,35,3,0,0,21%
8467.21.00.000P,TALADRO ELECTRICO,20,3,0,0,21%
8467.21.00,KIT TALADRO ATORNILLADOR Y ACCS,20,3,0,0,21%
8467.21.00,KIT 2 HERRAMIENTAS MANUALES C/BOLSO,20,3,0,0,21%
8467.21.00,KIT 5 HERRAMIENTAS MANUALES C/BOLSO,20,3,0,0,21%
8467.19.00,HERRAMIENTA NEUMAT. LAS DEMAS,14,3,0,0,"10,50%"
8467.11.90,Lijadora inalámbrica,2,0,0,0,"10,50%"
8466.94.90,KNIFE GRINDING BUFFER,12.6,0,0,0,21%
8466.93.60,ACCESORIOS MAQ HERRAMIENTA,14,3,0,0,21%
8466.93.40,PARTES Y ACCS FRESADORA,14,0,0,0,21%
8466.93.30,ACCESORIO MINI TORNO,14,0,0,0,21%
8466.92.00,ACCESORIO FRESADORA,14,0,0,0,21%
8465.99.00,MAQUINA HERRAMIENTA,14,3,0,0,"10,50%"
8464.90.90,CORTADORA VIDRIO PROTECTOR,14,0,0,0,"10,50%"
8460.90.90,PULIDORA,14,0,0,0,"10,50%"
8460.19.00,MAQ DE RECTIF SUPERF LAS DEMAS,14,3,0,0,"10,50%"
8456.11.90,MAQUINA GRABADORA LASER,14,0,0,0,"10,50%"
8456.11.90,MAQUINA PARA MARCADO POR LASER,12.6,0,0,0,"10,50%"
8452.10.00,MAQUINA DE COSER,20,3,0,0,
8452.10.00,maquina de coser domestica,20,3,0,0,21%
8451.90.90,flat link,16,3,0,0,21%
8451.80.00,MAQ SUBLIMADORA,2,0,0,0,"10,50%"
8450.19.00.000W,MAQUINA DE LAVAR ROPA,20,3,0,0,21%
8448.49.90,sensor for taxis,12.6,0,0,0,21%
8443.99.50,ACC Y PARTES IMPRESION,8,0,0,0,21%
8443.99.50,ACCESORIOS PLOTTER,0,3,0,0,21%
8443.99.49,PARTES IMPRESORA TERMICA,0,0,0,0,21%
8443.99.42,CABEZALES DE IMPRESION TERMICA,0,0,0,0,21%
8443.99.33,CARTUCHO TONER,0,3,0,0,21%
8443.99.33,CARTUCHO TONER,0,3,0,0,21%
8443.99.23,CARTUCHOS DE TINTA,0,0,0,0,"10,50%"
8443.99.22,PARTE DE IMPRESORA,0,0,0,0,"10,50%"
8443.91.99,PARTE DE IMPRESORA R,12,0,0,0,"10,50%"
8443.32.99,IMPRESORA PORTATIL CP,0,0,0,0,"10,50%"
8443.32.39,IMPRESORA TERMICA,0,0,0,0,"10,50%"
8443.31.19,IMPRESORAS,12,3,0,0,21%
8443.31.11,IMPRESORA PORATIL,0,0,0,0,21%
8441.90.00,PARTES TROQUELADORA,14,0,0,0,21%
8441.80.00,MAQ TROQUELADORA,2,0,0,0,"10,50%"
8441.80.00,TROQUELADORA,2,3,0,0,"10,50%"
8440.90.00,PARTES M ENCUAD,2,0,0,0,21%
8438.10.00,MAQUINA PARA HACER PASTAS,10,0,0,0,"10,50%"
8436.80.00,BEBEDERO AUTOMATICO,12.6,0,0,0,"10,50%"
8433.90.90,Maq agricola (partes las demas),14,3,0,0,21%
8433.20.90,GUADAÑADORA,35,3,0,0,21%
8433.20.90,PARTE DE GUADAÑADORA,35,3,0,0,21%
8433.19.00,cortadora cesped,18,3,0,0,21%
8433.19.00,BORDEADORA CON ACCESORIOS,18,3,0,0,21%
8433.19.00,PARTE DE BORDEADORA,18,3,0,0,21%
8431.49.29,Partes de maquinas 8425 a 8430,0,0,0,0,21%
8431.49.10,PARTE DE MAQUINA,14,3,0,0,21%
8431.49.10,PARTE DE MAQUINA,14,3,0,0,21%
8431.49.10,PARTE DE MAQUINA VIAL,14,3,0,0,21%
8431.20.90,PARTES APILADORAS,14,0,0,0,21%
8431.20.90,PARTE AUTOELEVADOR,14,0,0,0,21%
8431.20.19,PARTE DE ELEVADORES,14,3,0,0,21%
8431.20.11,PARTE DE AUTOELEVADOR,0,3,0,0,0%
8426.91.00,CARRETILLA,14,3,0,0,"10,50%"
8425.49.90,GATO ELECT. P/AUTO Y ACC,12.6,0,0,0,"10,50%"
8425.19.10,POLIPASTO,16,3,0,0,21%
8424.90.90,PARTES DE HIDROLAVADORAS,12.6,0,0,0,21%
8424.89.90,AP PULVERIZADOR,14,3,0,0,"10,50%"
8424.89.90,IRRIGADOR HIGIENE BUCAL,14,3,0,0,"10,50%"
8424.89.10,APARATO DE PULVERIZACION,16,3,0,0,"10,50%"
8424.82.29,SISTEMA DE RIEGO,14,0,0,0,"10,50%"
8424.30.90,maquina de limpieza a vapor,12.6,0,0,0,"10,50%"
8424.20.00,PISTOLAS AEROGRAFICAS,14,0,0,0,"10,50%"
8424.10.00,MAQUINA PARA PINTAR,16,3,0,0,21%
8423.89.00,BALANZA,14,0,0,0,"10,50%"
8423.10.00,BALANZA DOMESTICA,20,3,0,0,21%
8421.99.99,aparatos para depurar líquido y gases,12.6,0,0,0,21%
8421.99.99,ELEMENTOS FILTRANTES PARTES,12.6,0,0,0,21%
8421.99.99,PARTES Y ACC DE APARATOS DE FILTRADO,12.6,0,0,0,21%
8421.39.90,PURIFICADOR DE AIRE,25,0,0,0,21%
8421.39.10,APARATO FILTRANTE,14,0,0,0,"10,50%"
8421.31.00.000K,filtro de aire,16,3,0,0,21%
8421.31.00,FILTROS DE AIRE,16,3,0,0,21%
8421.31.00,KIT FILTRO DE AIRE,16,3,0,0,21%
8421.31.00,FILTROS,16,3,0,0,21%
8421.23.00,FILTROS DE ACEITE,16,3,0,0,21%
8421.21.00,KIT FILTROS DE AGUA,14,0,0,0,21%
8421.21.00,FILTRO DE AGUA,14,0,0,0,21%
8421.21.00,FITRO DE AGUA,12.6,0,0,0,21%
8421.21.00,ROBOT DE FILTRADO PARA PILETA,12.6,0,0,0,"10,50%"
8419.89.99,PISTOLA ENCOLADORA,14,0,0,0,"10,50%"
8419.89.99,CONTROLADORES,14,3,0,0,"10,50%"
8419.89.19.000G,ESTERILIZADOR,12.6,0,0,0,"10,50%"
8419.50.90,CIRCULADOR DE INMERSION,12.6,0,0,0,"10,50%"
8419.50.21,INTERCOOLER,14,0,0,0,"10,50%"
8419.50.10,INTERCAMBIADOR DE CALOR,14,3,0,0,"10,50%"
8418.99.00,CONDENSADOR,14,0,0,0,21%
8418.99.00,CONDENSADOR A/A P/AUTOMOVILES,14,3,0,0,21%
8418.99.00,EVAPORADOR DE A/A PARA VEHICULOS,14,3,0,0,21%
8418.99.00,EVAPOR A/A PARA VEHICULOS,14,3,0,0,21%
8418.69.99,MAQUINA DOMESTICA PARA PRODUCIR HIELO,12.6,0,0,0,"10,50%"
8418.69.99,MAQ PARA FABRICAR HIELO,12.6,0,0,0,"10,50%"
8418.69.40,MAQUINA PARA REFRIGERACION,4,3,0,0,21%
8418.69.32,DISPENSER DE LIQUIDOS,18,3,0,0,21%
8418.69.31,SURTIDORA DE AGUA,18,3,0,0,21%
8418.21.00,REFRIGERADOR,20,3,0,0,21%
8415.90.90,PARTE EQUIPO AIRE VEHICUILO,14,0,0,0,21%
8415.82.90,AIRE ACONDICIONADO PORTATIL,14,0,0,0,"10,50%"
8414.90.39.900P,PARTES DE COMPRESORES,12.6,0,0,0,21%
8414.90.39,PARTE DE COMPRESOR,12.6,0,0,0,21%
8414.90.20,PARTES DE VENTILACION,12.6,3,0,0,21%
8414.90.10,PARTES BOMBAS,14,3,0,0,21%
8414.80.21,TURBO ALIMENTADOR,14,3,0,0,21%
8414.80.19,COMPRESOR,14,3,0,0,"10,50%"
8414.59.90,FAN COOLER,35,0,0,0,21%
8414.59.90,EXTRACTOR,35,0,0,0,21%
8414.59.10,MICROVENTILADOR,0,3,0,0,21%
8414.51.90.900K,VENTILADOR,20,3,0,0,21%
8414.51.90,VENTILADOR COOLER,35,3,0,0,21%
8414.51.90,VENTILADOR DE TECHO,35,3,0,0,21%
8414.40.90,COMPRESORES,14,0,0,0,"10,50%"
8414.30.91,COMPRESOR A/A,18,3,0,0,21%
8414.20.00,INFLADOR,18,3,0,0,21%
8413.91.90,PARTE DE BOMBAS,12.6,0,0,0,21%
8413.81.00,BOMBA DE AGUA SUMERGIBLE KIT X 4 UNIDADE,14,3,0,0,
8413.70.10,BOMBA CENTRIFUGA SUMERGIBLE,12.6,0,0,0,21%
8413.70.10,BOMBA CENTRIFUGA SUMERGIBLE,12.6,0,0,0,21%
8413.60.11,BOMBA,14,3,0,0,21%
8413.60.11,BOMBA,14,3,0,0,21%
8413.30.90,BOMBA COMBUSTIBLE,18,3,0,0,21%
8413.30.90,BOMBA ACEITE,18,3,0,0,21%
8413.30.90,BOMBA DE AGUA,18,3,0,0,21%
8413.30.90,KIT DE BOMBA Y CORREA DIST.,18,3,0,0,21%
8413.30.30,BOMBA DE ACEITE,18,3,0,0,21%
8413.30.20,INYECTOR,18,3,0,0,21%
8413.30.10,BOMBA INYECTORA,18,3,0,0,21%
8413.30.10,BOMBA DE PRESION,18,3,0,0,21%
8412.90.90,CILINDRO HIDRAULICO,14,0,0,0,21%
8412.31.90,KNIFE SHARPENING CYLINDER,12.6,0,0,0,21%
8409.99.99,PARTES MOTOR EMBARCACIONES,16,3,0,0,21%
8409.99.99,PARTE MOTOR LANCHA,16,3,0,0,21%
8409.99.99,KIT REPARACION CARBURADOR,16,3,0,0,21%
8409.99.99,PATA MOTOR BARCO,16,3,0,0,21%
8409.99.99,KIT TURBO PARA MOTO 62 PIEZAS,16,3,0,0,21%
8409.99.99,PARTE DE MOTORES,16,3,0,0,21%
8409.99.79,ARO,16,3,0,0,21%
8409.99.79,ARO,16,3,0,0,21%
8409.99.69,INYECTORES,16,3,0,0,21%
8409.99.29,PARTES DE MOTOR,16,3,0,0,21%
8409.99.15,MULTIPLES,16,3,0,0,21%
8409.99.15,MULTIPLES DE ADMISION O ESCAPE,16,3,0,0,21%
8409.99.14,VALVULAS,16,3,0,0,21%
8409.99.12,PARTE DE MOTOR,16,3,0,0,21%
8409.91.90,PARTES DE MOTORES,16,3,0,0,21%
8409.91.40,Sistemas de inyección electrónica,16,0,0,0,"10,50%"
8409.91.20,PISTONES SET,16,3,0,0,21%
8409.91.18,LOS DEMAS CARBURADORES,16,3,0,0,21%
8409.91.18,PISTON,16,3,0,0,21%
8409.91.18,CARBURADORES,16,3,0,0,21%
8409.91.16,JUEGO DE AROS,16,3,0,0,21%
8409.91.12,TAPA DE BLOCK,16,3,0,0,21%
8409.91.11,BIELAS,16,3,0,0,21%
8409.10.00,Partes de motores de,0,0,0,0,21%
8407.90.00,MOTOR KIT,2,3,0,0,"10,50%"
8407.32.00,MOTOR A EXPLOSION 4T,18,3,0,0,21%
8308.90.90,Los demás hebillas incl las partes,16,3,0,0,21%
