Posición,Descripción ,Derechos,Tasa Estadísticas,Impuestos Internos,Anti-Dumping,IVA
8544.20.00,SET DE CABLES,16,3,0,0,21%
8544.20.00,MAZO DE CABLES,16,3,0,0,21%
8543.90.90.00F,Máquinas y aparatos eléctricos con funci,12.6,0,0,0,21%
8543.90.90,PLACA DE SONIDO,14,0,0,0,21%
8543.70.99,Máquinas y aparatos eléctricos,10.8,0,0,0,"10,50%"
8543.70.99,DETECTOR DE METALES,10.8,0,0,0,"10,50%"
8543.70.99,BASE CONVERTIDORA DE PUERTOS USB,10.8,0,0,0,"10,50%"
8543.70.99,SET LIBRETA INTELIGENTE Y BOLIGRAFOS,12,0,0,0,"10,50%"
8543.70.99,APARATO RECONOCIMENTO FACIAL,12,3,0,0,21%
8543.70.99,CONTROL REMOTO,12,3,0,0,21%
8543.70.99,E-BOOK KINDLE,10,0,0,0,"10,50%"
8543.70.99,CONVERTIDOR DE VIDEO,12,0,0,0,"10,50%"
8543.70.99,SOPORTE GIRATORIO CELULAR,12,0,0,0,"10,50%"
8543.70.99,CONVERTIDOR IMAGEN,12,0,0,0,"10,50%"
8543.70.99,LECTOR LIBROS ELECTRONICO,12,0,0,0,"10,50%"
8543.70.99,KIT SINCRONIZADOR DE LUCES,12,0,0,0,"10,50%"
8543.70.99,MAQ FUNC PROP,12,3,0,0,"10,50%"
8543.70.99,EQUIPO MINER,12,0,0,0,"10,50%"
8543.70.99,BASE GIRATORIA FOTOGRAFIA,12,0,0,0,"10,50%"
8543.70.99,DETECTOR DE BILLETES,12,0,0,0,"10,50%"
8543.70.99,CONSOLA MEZCLADORA,10,0,0,0,"10,50%"
8543.70.99,BILLETERA VIRTUAL - TOKEN,12,0,0,0,"10,50%"
8543.70.99,MAQUINA MINERIA CRIPTOMONEDAS,12,0,0,0,"10,50%"
8543.70.99,PARTE CELULAR BUZZER,12,0,0,0,"10,50%"
8543.70.99,TOKEN,12,0,0,0,"10,50%"
8543.70.99,APARATO AUX DE AUDIO,12,3,0,0,"10,50%"
8543.70.99,PLACA AUDIO,12,0,0,0,"10,50%"
8543.70.99,MAQ FUNC PROP ER,12,3,0,0,"10,50%"
8543.70.99,CORTADORA DE ALFOMBRAS,12,0,0,0,"10,50%"
8543.70.99,KIT LAMPARA INTELIGENTES,12,0,0,0,"10,50%"
8543.70.99,OSCILADOR,12,0,0,0,"10,50%"
8543.70.99,ZUMBADOR BUZZER,8,0,0,0,"10,50%"
8543.70.99,MEZCLADOR VIDEO,10,0,0,0,"10,50%"
8543.70.99,LIMPIADOR CUTIS,12,0,0,0,"10,50%"
8543.70.99,DETECTOR DE METALES,12,3,0,0,"10,50%"
8543.70.39,ATENUADORES,0,0,0,0,"10,50%"
8543.70.39,ECUALIZADORES,0,0,0,0,"10,50%"
8543.70.39,PLAQUETA PARA EDICION DE VIDEO,0,0,0,0,"10,50%"
8543.70.39,AP AUX DE VIDEO,0,0,0,0,"10,50%"
8543.70.36,RUTEADOR CONMUTADOR,0,3,0,0,"10,50%"
8543.70.34,CONTROLADORES DE EDICION,0,3,0,0,"10,50%"
8543.70.20,APARATO PARA MATAR INSECTOS,18,3,0,0,21%
8543.20.00,GENERADOR DE SEÑAL,2,0,0,0,"10,50%"
8543.20.00,GENERADOR,2,3,0,0,21%
8542.39.99,MODULOS,0,0,0,0,"10,50%"
8542.33.90,AMPLIFICADOR,0,0,0,0,"10,50%"
8542.32.21,MEMORIA RAM,0,0,0,0,"10,50%"
8542.32.21,PLACA M DD2,0,0,0,0,"10,50%"
8542.31.90,MICROPROCESADORES,0,0,0,0,"10,50%"
8542.31.90,PARTE TELEFONO I.C. CIRCUITOS,0,0,0,0,"10,50%"
8542.31.90,REGULADOR,0,0,0,0,"10,50%"
8542.31.90,CIRCUITOS INTEGRADOS,0,3,0,0,"10,50%"
8542.31.90,PROCESADOR,0,0,0,0,"10,50%"
8542.31.90,MICROCONTROLADOR,0,3,0,0,"10,50%"
8542.31.90,CHIP,0,0,0,0,"10,50%"
8542.31.90,CIRCUITOS LOGICOS,0,3,0,0,"10,50%"
8542.31.20,OPTOACOPLADOR,0,0,0,0,"10,50%"
8542.31.10,CIRCUITOS,0,3,0,0,"10,50%"
8541.41.21,LED DIODO,0,0,0,0,"10,50%"
8541.41.21,DIODOS LED SMD,0,0,0,0,"10,50%"
8541.40.39,CELULAS SOLARES,12,0,0,0,"10,50%"
8541.40.39,MODULO LUZ SOLAR,12,0,0,0,"10,50%"
8541.40.32,PANELES SOLARES,12,0,0,0,"10,50%"
8541.40.32,PANEL,12,3,0,0,"10,50%"
8541.40.29,DIODOS,0,0,0,0,"10,50%"
8541.40.22,TIRAS DE LED,0,0,0,0,"10,50%"
8541.40.11,PACK DIODOS LED (52M UNID),0,0,0,0,"10,50%"
8541.40.11,LED DIODO,0,0,0,0,"10,50%"
8541.40.11,KIT 1000 LED DIODOS,0,0,0,0,"10,50%"
8541.29.10,KIT 200 TRANSISTORES (CAJA),0,0,0,0,"10,50%"
8541.29.10,TRANSISTORES,0,3,0,0,"10,50%"
8541.10.19,DIODO BARRERA,0,0,0,0,"10,50%"
8540.89.10,VALVULAS P/TRANSMISORES,0,3,0,0,21%
8540.81.00,TUBOS RECEPTORES,18,3,0,0,21%
8539.90.90,PARTES DE LUCES,14,3,0,0,21%
8539.52.00.100F,LAMPARA LED AUTOMOVIL,10.8,3,0,0,"10,50%"
8539.49.00,LAMPARAS SET 4 UNID,18,3,0,0,21%
8539.49.00,LAMPARA,18,3,0,0,21%
8539.41.90,LAMPARA PROYECTOR,18,3,0,0,21%
8539.29.90,LAMPARA 12V,18,3,0,0,21%
8539.29.90,LAMPARA LED,18,3,0,0,21%
8538.90.90,LOS DEMAS ACC,16,3,0,0,21%
8538.90.10,KIT PLAQUETAS CON CABLES,12,0,0,0,"10,50%"
8538.90.10,PLAQUETAS C/COMP KIT 100 UNID,10,0,0,0,"10,50%"
8538.90.10,PLAQUETAS C/COMPONENTES,12,0,0,0,"10,50%"
8538.90.10,KIT 6 PLAQUETAS/CABLES,12,0,0,0,"10,50%"
8537.10.90,COMANDO DE CONTROL,18,3,0,0,21%
8537.10.90,PANEL DE CONTROL,18,3,0,0,21%
8537.10.90,PANTALLA INTELIGENTE,18,3,0,0,21%
8537.10.90,PANTALLA DISPLAY,18,3,0,0,21%
8537.10.20,CONTROLADOR,14,0,0,0,"10,50%"
8536.90.90,BAHIA HUB USB,16,3,0,0,21%
8536.90.90,ADAPTADOR WIFI,16,3,0,0,21%
8536.90.90,BORNERA,16,3,0,0,21%
8536.90.90,ADAPT WIFI TELESCOPIO,16,3,0,0,21%
8536.90.90,PULSERA ANTIESTATICA,16,3,0,0,21%
8536.90.90,ADAPTADOR,16,3,0,0,21%
8536.90.90,MANTA ANTIESTATICA,16,3,0,0,21%
8536.90.90,ADAPTADORES KIT 7 UNID,16,3,0,0,21%
8536.90.90,ADAPTADOR DE RED,16,3,0,0,21%
8536.90.90,PATCHERA,16,3,0,0,21%
8536.90.90,BORNES,16,3,0,0,21%
8536.90.90,ARRANCADOR BATERIA,16,3,0,0,21%
8536.90.40,CONECTORES,0,0,0,0,
8536.90.30,ZOCALOS PARA ELECTRONICA,16,3,0,0,21%
8536.90.10,PORTA PILAS,16,3,0,0,21%
8536.70.00,CONECTOR DE FIBRA OPTICA,16,3,0,0,21%
8536.69.90,CONECTORES,16,3,0,0,21%
8536.69.90,ENCHUFES,16,3,0,0,21%
8536.69.90,KIT 6 CONECTORES,16,3,0,0,21%
8536.69.90,KIT 100 CONECTORES,16,3,0,0,21%
8536.61.00,PORTALAMPARAS,16,3,0,0,21%
8536.50.90,SENSOR PROXIMIDAD,16,0,0,0,"10,50%"
8536.50.90,BOTON INTERRUPTOR,16,0,0,0,"10,50%"
8536.50.90,SWITCH,16,0,0,0,"10,50%"
8536.50.90,BOTON PULSADOR,16,0,0,0,"10,50%"
8536.50.90,INTERRUPTOR,16,0,0,0,"10,50%"
8536.50.90,PARTE TELEFONO BOTON HOME,16,0,0,0,"10,50%"
8536.49.00,APARATO PARA CORTE,16,3,0,0,21%
8536.41.00,SENSORES,16,3,0,0,21%
8536.41.00,SENSOR DE MOVIMIENTO,16,3,0,0,21%
8536.41.00,DIODOS,16,3,0,0,21%
8536.41.00,MINI RELE,16,3,0,0,21%
8534.00.33,PANELES,10,3,0,0,"10,50%"
8534.00.12,CIRCUITOS IMPRESOS,10,0,0,0,"10,50%"
8533.90.00,PARTE POTENCIOMETRO,14,3,0,0,21%
8533.31.10,POTENCIOMETRO,16,3,0,0,21%
8533.21.90,RESISTENCIA,16,3,0,0,21%
8533.10.00,RESISTENCIAS,16,3,0,0,21%
8532.25.90,CAPACITORES,16,3,0,0,21%
8532.24.90,CONDENSADOR CERAMICO,16,3,0,0,21%
8532.22.00,CONDENSADOR ELECTROLITICO,16,3,0,0,21%
8531.90.00,PARTE DE ALARMA,16,3,0,0,21%
8531.80.00,LOCALIZADOR,18,3,0,0,21%
8531.80.00,LOCALIZADOR,18,3,0,0,21%
8531.20.00,LED FLEXIBLES,0,0,0,0,"10,50%"
8531.10.10,ALARMA,18,3,0,0,21%
8529.90.90,"DEMAS PARTES DE AUTOESTEREOS, ETC",16,3,0,0,21%
8529.90.90,ADAPT LENTE,16,3,0,0,21%
8529.90.90,PARTES DRONE,16,3,0,0,21%
8529.90.90,PARTE DRONE PACK HELICES,16,3,0,0,21%
8529.90.40,GPS PARTES,0,3,0,0,21%
8529.90.20,PARTES PROYECTORES,12,3,0,0,"10,50%"
8529.90.19,APARATO RECEPTOR PARA TV GC,8,3,0,0,"10,50%"
8529.90.19,APARATOS EMISORES,8,3,0,0,"10,50%"
8529.90.12,MINI PLACA PARA GPS,12,0,0,0,"10,50%"
8529.10.90,REFLECTORES DE ANTENAS,16,3,0,0,21%
8529.10.19,ANTENAS (PACK 2 UNID),16,3,0,0,21%
8529.10.19,ANTENA PARA GPS,16,3,0,0,21%
8529.10.19,ANTENA,16,3,0,0,21%
8529.10.19,KIT ANTENA,16,3,0,0,21%
8528.72.00,AP RECEPTOR DE TV,20,3,19,0,21%
8528.72.00,SMART TV,20,3,19,0,21%
8528.71.90,APTO TRANSMISOR TV,20,3,0,0,21%
8528.71.90,SINTONIZADORA,20,3,0,0,21%
8528.71.90,APARATO TRANSMISION TV GC,20,3,0,0,21%
8528.71.90,APTO RECEPTOR TV,20,3,0,0,21%
8528.71.19,TV,20,3,20,0,21%
8528.71.19,DECODIFICADOR,20,3,0,0,21%
8528.69.90,MINI PROYECTORES,20,3,0,0,21%
8528.69.90,PROYECTOR,20,3,0,0,21%
8528.59.20,MONITOR VIDEO PARA CAMARA,20,3,17,0,21%
8528.59.20,LENTES REALIDAD VIRTUAL,20,3,17,0,21%
8528.59.20,MARCO DIGITAL FOTOGRAFIAS,20,3,17,0,21%
8528.59.20,TELEPROMTER,20,3,17,0,21%
8528.59.20,KIT LENTE REALIDAD VIRTUAL Y ACCS,20,3,17,0,21%
8528.59.20,MONITORES SET 2 UNIDADES,20,3,17,0,21%
8528.59.00.900,PORTARETRATO DIGITAL,20,3,0,0,21%
8528.59.00,MARCOS DIGITALES,20,3,0,0,21%
8528.52.20,REPROD STREAMING TIPO ROKU,12,0,0,0,21%
8528.52.20,CAPTURADOR DE VIDEO,12,0,0,0,21%
8528.52.00,MONITOR POLICROMATICO,0,0,19,0,21%
8527.99.90,EQUIPO DE AUDIO,20,3,0,0,21%
8527.99.90,SINTETIZADOR,20,3,0,0,21%
8527.99.90,RADIO,20,3,0,0,21%
8527.99.10,SINTOAMPLIFICADOR,20,3,0,0,21%
8527.99.10,AMPLIFICADOR,20,3,0,0,21%
8527.29.00,AUTOESTEREO,20,3,17,0,21%
8527.29.00,APARATO RECEPTOR AUDIO Y VIDEO,20,3,0,0,21%
8527.13.00,REPRODUCTOR DE CD,20,3,20,0,21%
8526.92.00,TELEMANDO DRONE,18,3,0,0,21%
8526.92.00,PARTE DE RADIO TELEMANDO,18,3,0,0,21%
8526.92.00,RADIO TELEMANDO,18,3,0,0,21%
8526.91.00,TRACKER GPS,0,0,0,0,21%
8526.91.00,GPS,0,0,0,0,21%
8526.10.00,RADAR,0,3,0,0,"10,50%"
8525.89.29.900U,Cámaras digitales y videocámaras,2,3,0,0,21%
8525.89.29,CAMARA WEB,2,3,0,0,21%
8525.89.29,CAMARAS IP,2,3,0,0,21%
8525.89.19,CAMARAS SEG.,2,3,0,0,21%
8525.80.29,KIT DE 3 CAMARAS,2,3,0,0,21%
8525.80.29,DRONE CON ACCESORIOS,2,3,0,0,21%
8525.80.29,KIT CAMARA; BATERIA; MEMORIA,2,3,0,0,21%
8525.80.29,CAMARA,2,3,0,0,21%
8525.80.29,KIT CAMARA SEGURIDAD 5 UNID,2,3,0,0,21%
8525.80.29,KIT FILMACION,20,3,0,0,21%
8525.80.29,CAMARAS IP,20,3,0,0,21%
8525.80.29,DRONE,2,3,0,0,21%
8525.80.21,KIT FILMADORA CON BOLSO,0,0,0,0,"10,50%"
8525.80.19,CAMARA WEB,2,3,0,0,21%
8525.60.90,MAQUINA DE FOTO,12,3,0,0,"10,50%"
8525.60.90,CABLE USB,12,3,0,0,"10,50%"
8524.99.00,PANTALLA PARA AUTO,0,0,0,0,21%
8524.91.00,MODULOS,0,0,0,0,
8524.19.00,DISPLAY PHONE,10,0,3,0,21%
8523.80.00,DISCOS LP,16,3,0,0,21%
8523.59.00,TAG,16,3,0,0,21%
8523.52.00,TARJETAS PLASTICAS,6,3,0,0,"10,50%"
8523.51.90,MEMORIAS KIT X 2 UNIDS,16,3,0,0,21%
8523.51.90,CAJA EXPANSION USB-C (SIN DISCOS),35,3,0,0,21%
8523.51.90,MEMORIAS,16,3,0,0,21%
8523.51.90,PEN DRIVE BILLETERA,16,3,0,0,21%
8523.51.90,PENDRIVE,16,3,0,0,21%
8523.51.90,MEMORY FLASH,16,3,0,0,21%
8523.51.90,MEMORIA MICRO SD,16,3,0,0,21%
8523.51.90,PENDRIVE PACK 3 UNID,16,3,0,0,21%
8523.51.90,BILLETERA VITUAL (PEN DRIVE) KIT X 4 UNI,16,3,0,0,21%
8523.51.90,DISCO ESTADO SOLIDO,16,3,0,0,21%
8523.49.90,SOPORTE P GRABAR SONIDO,16,3,0,0,21%
8523.49.90,DVD,35,3,0,0,21%
8523.49.90,KIT VIDEOJUEGO / MUÑECO,35,3,0,0,21%
8523.49.90,VIDEO JUEGOS,35,3,0,0,21%
8523.49.20,CD,16,3,0,0,21%
8523.49.20,JUEGO,16,3,0,0,21%
8523.49.10,CDS AUDIO,16,3,0,0,21%
8523.29.19,PROGRAMA COMPUTACION,16,3,0,0,21%
8523.21.10,TARJETA C/CINTA MAGNETICA,16,3,0,0,21%
8522.90.90,REPUESTO TOCADISCOS,16,3,0,0,21%
8521.91.00,aparatos de recep de posic,0,3,0,0,21%
